"Date,""Price""";Price;
2025/03/01;;27271
2025/02/01;;27501
2025/01/01;;28585
2024/12/01;;29450
2024/11/01;;29579
2024/10/01;;30314
2024/09/01;;29578
2024/08/01;;31008
"2024/07/01,""30,453""";;30453
"2024/06/01,""28,403""";;28403
"2024/05/01,""24,969""";;24969
"2024/04/01,""25,175""";;25175
"2024/03/01,""24,744""";;24744
"2024/02/01,""25,822""";;25822
"2024/01/01,""27,149""";;27149
"2023/12/01,""27,505""";;27505
"2023/11/01,""25,715""";;25715
"2023/10/01,""23,883""";;23883
"2023/09/01,""23,984""";;23984
"2023/08/01,""26,383";;26383
"2023/07/01,""25,840""";;25840
"2023/06/01,""22,560";;22560
"2023/05/01,""19,520";;19520
"2023/04/01,""22,295";;22295
"2023/03/01,""22,226";;22226
"2023/02/01,""22,254";;22254
"2023/01/01,""24,014";;24014
"2022/12/01,""22,600";;22600
"2022/11/01,""25,212";;25212
"2022/10/01,""23,390""";;23390
"2022/09/01,""21,699";;21699
"2022/08/01,""23,272""";;23272
"2022/07/01,""22,424";;22424
"2022/06/01,""19,788";;19788
"2022/05/01,""21,564";;21564
"2022/04/01,""22,902";;22902
